ʒ,CONSONANT,TRUE,POST_ALVEOLAR,FRICATIVE,TRUE,NONE
ʂ,CONSONANT,FALSE,RETROFLEX,FRICATIVE,TRUE,NONE
ʐ,CONSONANT,TRUE,RETROFLEX,FRICATIVE,TRUE,NONE
ɧ,CONSONANT,FALSE,POSTALVEOLAR_VELAR,FRICATIVE,TRUE,NONE
ɕ,CONSONANT,FALSE,ALVEOLO_PALATAL,FRICATIVE,TRUE,NONE
ʑ,CONSONANT,TRUE,ALVEOLO_PALATAL,FRICATIVE,TRUE,NONE
ç,CONSONANT,FALSE,PALATAL,FRICATIVE,TRUE,NONE
ʝ,CONSONANT,TRUE,PALATAL,FRICATIVE,TRUE,NONE
x,CONSONANT,FALSE,VELAR,FRICATIVE,TRUE,NONE
ɣ,CONSONANT,TRUE,VELAR,FRICATIVE,TRUE,NONE
χ,CONSONANT,FALSE,UVULAR,FRICATIVE,TRUE,NONE
ʁ,CONSONANT,TRUE,UVULAR,FRICATIVE,TRUE,NONE
ħ,CONSONANT,FALSE,PHARYNGEAL,FRICATIVE,TRUE,NONE
ʕ,CONSONANT,TRUE,PHARYNGEAL,FRICATIVE,TRUE,NONE
ʜ,CONSONANT,FALSE,EPIGLOTTAL,FRICATIVE,TRUE,NONE
ʢ,CONSONANT,TRUE,EPIGLOTTAL,FRICATIVE,TRUE,NONE
h,CONSONANT,FALSE,GLOTTAL,FRICATIVE,TRUE,NONE
ɦ,CONSONANT,TRUE,GLOTTAL,FRICATIVE,TRUE,NONE
ɬ,CONSONANT,FALSE,ALVEOLAR,LAT_FRICATIVE,TRUE,NONE
ɮ,CONSONANT,TRUE,ALVEOLAR,LAT_FRICATIVE,TRUE,NONE
ꞎ,CONSONANT,TRUE,RETROFLEX,LAT_FRICATIVE,TRUE,NONE
sʼ,CONSONANT,FALSE,ALVEOLAR,EJEC_FRICATIVE,FALSE,D_EJECTIVE
ʃʼ,CONSONANT,FALSE,POST_ALVEOLAR,EJEC_FRICATIVE,FALSE,D_EJECTIVE
ɬʼ,CONSONANT,FALSE,ALVEOLAR,EJEC_LAT_FRICATIVE,FALSE,D_EJECTIVE
t͡s,CONSONANT,FALSE,ALVEOLAR,AFFRICATE,TRUE,NONE
t͡ʃ,CONSONANT,FALSE,POST_ALVEOLAR,AFFRICATE,TRUE,NONE
t͡ɕ,CONSONANT,FALSE,ALVEOLO_PALATAL,AFFRICATE,TRUE,NONE
ʈ͡ʂ,CONSONANT,FALSE,RETROFLEX,AFFRICATE,TRUE,NONE
d͡z,CONSONANT,TRUE,ALVEOLAR,AFFRICATE,TRUE,NONE
d͡ʒ,CONSONANT,TRUE,POST_ALVEOLAR,AFFRICATE,TRUE,NONE
d͡ʑ,CONSONANT,TRUE,ALVEOLO_PALATAL,AFFRICATE,TRUE,NONE
ɖ͡ʐ,CONSONANT,TRUE,RETROFLEX,AFFRICATE,TRUE,NONE
β̞̊,CONSONANT,FALSE,BILABIAL,APPROXIMANT,TRUE,VOICELESS
β̞,CONSONANT,TRUE,BILABIAL,APPROXIMANT,TRUE,NONE
ʋ̥,CONSONANT,FALSE,LABIODENTAL,APPROXIMANT,TRUE,NONE
ʋ,CONSONANT,TRUE,LABIODENTAL,APPROXIMANT,TRUE,NONE
ð̞,CONSONANT,TRUE,DENTAL,APPROXIMANT,TRUE,D_DENTAL
ɹ̥,CONSONANT,FALSE,ALVEOLAR,APPROXIMANT,TRUE,VOICELESS
ɹ,CONSONANT,TRUE,ALVEOLAR,APPROXIMANT,TRUE,NONE
ɻ̊,CONSONANT,FALSE,RETROFLEX,APPROXIMANT,TRUE,VOICELESS
ɻ,CONSONANT,TRUE,RETROFLEX,APPROXIMANT,TRUE,NONE
ɥ̊,CONSONANT,FALSE,LABIALIZED_PALATAL,APPROXIMANT,TRUE,NONE
ɥ,CONSONANT,TRUE,LABIALIZED_PALATAL,APPROXIMANT,TRUE,NONE
